epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,582.811,0.96733,4.2148,1.4169,0.03689,0.01707,0.02645,0.01774,0.9291,4.09289,1.47296,8.47407e-05,8.47407e-05,8.47407e-05
2,1147.86,0.98595,3.69232,1.42323,0.15407,0.1185,0.1108,0.08726,1.08939,3.64282,1.55293,0.000166707,0.000166707,0.000166707
3,1718.48,1.03629,3.27773,1.45106,0.27979,0.17642,0.21292,0.16283,1.12103,3.28421,1.60989,0.000245293,0.000245293,0.000245293
4,2310.99,1.04513,2.91523,1.42966,0.34743,0.20156,0.26369,0.18736,1.13227,3.21375,1.64837,0.000240794,0.000240794,0.000240794
5,2887.36,1.01958,2.74149,1.41073,0.38023,0.32595,0.35257,0.26739,1.09183,2.83946,1.58664,0.000235725,0.000235725,0.000235725
6,3472.48,1.00709,2.55039,1.39926,0.42145,0.26766,0.34753,0.26667,1.09711,2.69592,1.57721,0.000230656,0.000230656,0.000230656
7,4051.71,0.98599,2.39442,1.38226,0.47036,0.32473,0.40803,0.31185,1.06959,2.5537,1.5567,0.000225587,0.000225587,0.000225587
8,4623.33,0.98254,2.2548,1.36662,0.49623,0.31716,0.4129,0.32219,1.05437,2.51595,1.52665,0.000220518,0.000220518,0.000220518
9,5198.77,0.9717,2.16954,1.36173,0.40231,0.43072,0.43302,0.32491,1.06214,2.38752,1.54276,0.00021545,0.00021545,0.00021545
10,5840.13,0.97751,2.07479,1.35427,0.50152,0.35502,0.43198,0.33559,1.03482,2.39094,1.5034,0.000210381,0.000210381,0.000210381
11,6455.22,0.95394,2.03135,1.33525,0.49639,0.41235,0.4601,0.35571,1.03047,2.2951,1.48015,0.000205312,0.000205312,0.000205312
12,7072.64,0.94795,1.92596,1.33342,0.47495,0.43068,0.48437,0.3752,1.05044,2.16101,1.50466,0.000200243,0.000200243,0.000200243
13,7691.6,0.93689,1.88795,1.33068,0.4534,0.51225,0.50735,0.38511,1.05372,2.08625,1.51462,0.000195174,0.000195174,0.000195174
14,8268.58,0.92906,1.84654,1.31884,0.47634,0.44347,0.47262,0.3686,1.03541,2.17634,1.52949,0.000190106,0.000190106,0.000190106
15,8849.87,0.9212,1.76835,1.31132,0.57275,0.4619,0.53171,0.41395,1.03549,2.07382,1.49168,0.000185037,0.000185037,0.000185037
16,9438.11,0.91301,1.73935,1.30201,0.46215,0.45711,0.47796,0.37056,1.03831,2.06609,1.48965,0.000179968,0.000179968,0.000179968
17,10024.1,0.90351,1.70153,1.29897,0.52758,0.51213,0.53155,0.41242,1.03448,1.98758,1.48743,0.000174899,0.000174899,0.000174899
18,10601.7,0.90688,1.61775,1.28285,0.54695,0.52222,0.55557,0.42742,1.02533,1.92634,1.4849,0.00016983,0.00016983,0.00016983
19,11327.9,0.88839,1.61324,1.28675,0.54839,0.47352,0.53173,0.42137,1.03146,1.97484,1.493,0.000164762,0.000164762,0.000164762
20,12104.7,0.88432,1.59079,1.2829,0.56506,0.55476,0.58653,0.44862,1.02849,1.83538,1.47577,0.000159693,0.000159693,0.000159693
21,12879.8,0.87365,1.51844,1.26254,0.54151,0.53595,0.57086,0.44813,0.98876,1.78932,1.45442,0.000154624,0.000154624,0.000154624
22,13656.7,0.86788,1.47622,1.25664,0.58005,0.52632,0.57096,0.44691,1.01871,1.82944,1.47905,0.000149555,0.000149555,0.000149555
23,14440.7,0.84664,1.42063,1.25321,0.55348,0.48796,0.53888,0.42059,1.04813,1.92851,1.522,0.000144486,0.000144486,0.000144486
24,15217.4,0.85479,1.41605,1.25337,0.59969,0.51743,0.57695,0.44458,1.02664,1.73297,1.4736,0.000139418,0.000139418,0.000139418
25,16003,0.84418,1.40792,1.25136,0.63967,0.52767,0.59602,0.46187,1.01592,1.72471,1.46518,0.000134349,0.000134349,0.000134349
26,16776.1,0.83254,1.3537,1.23622,0.54277,0.57268,0.58535,0.45487,1.02843,1.75359,1.47181,0.00012928,0.00012928,0.00012928
27,17553.8,0.83979,1.33031,1.23566,0.57514,0.54982,0.58751,0.45295,1.041,1.79895,1.50097,0.000124211,0.000124211,0.000124211
28,18223.1,0.82953,1.34053,1.24196,0.61648,0.54441,0.5929,0.45993,1.03647,1.78412,1.48923,0.000119142,0.000119142,0.000119142
29,18828.6,0.81783,1.30306,1.22408,0.56692,0.61272,0.60949,0.46965,1.038,1.68057,1.50003,0.000114074,0.000114074,0.000114074
30,19534.3,0.80722,1.25725,1.22687,0.57793,0.57082,0.60867,0.46818,1.04097,1.68068,1.48875,0.000109005,0.000109005,0.000109005
31,20371.2,0.80808,1.27759,1.22955,0.64007,0.51033,0.59475,0.4671,1.02736,1.76843,1.48109,0.000103936,0.000103936,0.000103936
32,21179.7,0.80702,1.23416,1.21924,0.58056,0.57253,0.60137,0.46219,1.02943,1.75639,1.48757,9.88672e-05,9.88672e-05,9.88672e-05
33,21986.8,0.78941,1.21789,1.21194,0.62451,0.58264,0.62144,0.47884,1.02438,1.69418,1.47647,9.37984e-05,9.37984e-05,9.37984e-05
34,22759.6,0.80245,1.20943,1.21913,0.67043,0.53173,0.61248,0.46978,1.0406,1.70837,1.48148,8.87296e-05,8.87296e-05,8.87296e-05
35,23575.9,0.76588,1.17551,1.19528,0.63756,0.57343,0.62831,0.48011,1.05148,1.65608,1.50551,8.36608e-05,8.36608e-05,8.36608e-05
36,24434.8,0.78151,1.16715,1.20195,0.58161,0.57673,0.60595,0.46903,1.03547,1.66872,1.49048,7.8592e-05,7.8592e-05,7.8592e-05
37,25252.1,0.7797,1.13401,1.20248,0.62891,0.58416,0.6306,0.48928,1.03356,1.60351,1.48947,7.35232e-05,7.35232e-05,7.35232e-05
38,26057.8,0.76433,1.10641,1.19225,0.63558,0.56169,0.6241,0.48227,1.03144,1.61364,1.48634,6.84544e-05,6.84544e-05,6.84544e-05
39,26884,0.7698,1.11296,1.19155,0.63083,0.58159,0.63141,0.48289,1.02867,1.59235,1.4865,6.33856e-05,6.33856e-05,6.33856e-05
40,27702.7,0.74885,1.09143,1.18051,0.66874,0.54315,0.61754,0.48098,1.03501,1.64159,1.48346,5.83168e-05,5.83168e-05,5.83168e-05
41,28515.4,0.73146,1.18165,1.24024,0.63092,0.56448,0.61579,0.4737,1.04296,1.71041,1.50903,5.3248e-05,5.3248e-05,5.3248e-05
42,29310.9,0.68968,1.04242,1.20538,0.62834,0.56442,0.61929,0.47432,1.05535,1.65075,1.51442,4.81792e-05,4.81792e-05,4.81792e-05
43,30123.6,0.67985,0.99971,1.20543,0.63579,0.57234,0.6246,0.47475,1.05586,1.66891,1.50888,4.31104e-05,4.31104e-05,4.31104e-05
44,30935.8,0.67125,0.95398,1.18164,0.63661,0.53552,0.61399,0.47374,1.03907,1.68187,1.50503,3.80416e-05,3.80416e-05,3.80416e-05
45,31737.3,0.66831,0.94423,1.17992,0.61881,0.5771,0.62294,0.47955,1.03864,1.68798,1.50958,3.29728e-05,3.29728e-05,3.29728e-05
46,32537.8,0.65654,0.9152,1.1675,0.63631,0.55303,0.61945,0.47645,1.04006,1.7019,1.51588,2.7904e-05,2.7904e-05,2.7904e-05
47,33328,0.64182,0.89862,1.16064,0.6422,0.56406,0.62479,0.47882,1.04054,1.68282,1.51195,2.28352e-05,2.28352e-05,2.28352e-05
48,34101.5,0.63843,0.89241,1.16288,0.62816,0.58093,0.6258,0.47988,1.03452,1.64059,1.50896,1.77664e-05,1.77664e-05,1.77664e-05
49,34880.1,0.64183,0.89183,1.16669,0.60755,0.58626,0.62579,0.48259,1.03625,1.64582,1.50684,1.26976e-05,1.26976e-05,1.26976e-05
50,35684,0.62844,0.87282,1.15346,0.60673,0.58921,0.62402,0.48204,1.03668,1.6535,1.50997,7.6288e-06,7.6288e-06,7.6288e-06
